SP;Nro Arb;COD;CIF;NOMBRE VULGAR;NOMBRE CIENTIFICO ;POM;X;Y;DAP;CD;HT;HC;ESTE;NORTE
94;7;;;Requia;Guarea guidonia;;61.1;95.2;10.3;10 a 19.9;1.358.937;6.243.008;667180.1;9537439.2
94;8;;;Huarmicaspi;Heisteria spp;;62;91.2;43.6;40 a 49.9;2.450.844;27.637.592;667181;9537435.2
95;1;;;Cumala;Virola duckei;;59.7;95.6;26.3;20 a 29.9;1.883.577;18.128.128;667178.7;9537439.6
95;2;;;Pichirina;Vismia cayennensis ;;54.5;99.2;19.1;10 a 19.9;1.647.489;13.147.312;667173.5;9537443.2
95;3;;;Palometa huayo;Miconia spp;;50.9;91.7;13.3;10 a 19.9;1.457.307;8.697.668;667169.9;9537435.7
95;4;;;Pinsha ñahui;Matayba macrocarpa;;50.75;90.4;11;10 a 19.9;138.189;68.251;667169.75;9537434.4
95;5;;;Caimitillo;Pouteria guianensis;;53.1;92.8;28.1;20 a 29.9;1.942.599;19.279.372;667172.1;9537436.8
95;6;;;Machin Sapote;Quararibea cordata;;55.18;90.4;13.1;10 a 19.9;1.450.749;8.537.272;667174.18;9537434.4
95;7;;;Chimicua;Perebea guianensis;2.1;53.4;94;37.8;30 a 39.9;2.260.662;24.836.308;667172.4;9537438
96;1;;;Carahuasca;Guatteria elata;;47.4;96.8;21.1;20 a 29.9;1.713.069;14.591.192;667166.4;9537440.8
96;2;;;Balata;Manilkara bidentata;;47.95;96.2;12.9;10 a 19.9;1.444.191;8.376.412;667166.95;9537440.2
96;3;;;Quillosisa;Vochysia braceliniae;2.7;43.33;98.4;60;60 a 69.9;272.531.005;2.191.616.388;667162.33;9537442.4
96;4;;;Palo de cruz;Chimarrhis gentryana;2.7;44.1;94;35.8;30 a 39.9;2.115.510.155;1.964.759.997;667163.1;9537438
96;5;;;Chimicua;Perebea guianensis;;41.15;91.2;19.8;10 a 19.9;1.670.442;13.657.948;667160.15;9537435.2
96;6;;;Shimbillo;Inga ruiziana;;40.96;90.2;13.6;10 a 19.9;1.467.144;8.937.392;667159.96;9537434.2
96;7;;;Maria buena;Vochysia venulosa;1.9;42.7;91.5;10.3;10 a 19.9;1.358.937;6.243.008;667161.7;9537435.5
96;8;;;Moena;Ocotea spp;;41.9;93.5;11.1;10 a 19.9;1.385.169;6.907.792;667160.9;9537437.5
